Id,Title,review_count,average_review_score,image,authors
1932100385,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet, Weight Loss and Long-term Health",1462,4.581379310344827,,
0307280721,"Eldest (Inheritance, Book 2)",1274,3.740916271721959,http://books.google.com/books/content?id=x5mODQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Christopher Paolini']
0312857055,"Wizard's First Rule (Sword of Truth, Book 1)",1268,3.863241106719368,,
0440224675,Hannibal,1248,3.1850362027353176,http://books.google.com/books/content?id=N8mOeVOPzasC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Thomas Harris']
1847022251,Jane Eyre (Large Print),1189,4.550883095037847,http://books.google.com/books/content?id=OLniywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"['Charlotte Brontë', 'Marc Cactus']"
0435126024,Jane Eyre (New Windmill),1189,4.550883095037847,http://books.google.com/books/content?id=ZvY5PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Charlotte Brontë']
159335648X,"Killing Floor (Jack Reacher, No. 1)",1130,4.1066666666666665,,
069452607X,Good to Great,993,4.384146341463414,http://books.google.com/books/content?id=DDOmWaG4qtQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Jim Collins']
1589269063,The Five Love Languages: The Secret to Love that Lasts,985,4.708036622583927,http://books.google.com/books/content?id=K1fRBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,['Gary Chapman']
0742623157,"A Christmas Carol, in Prose: Being a Ghost Story of Christmas (Collected Works of Charles Dickens)",956,4.68586387434555,,
